id,team,img-team,league,img-league
129,Charlton Ath,https://futhead.cursecdn.com/static/img/22/clubs/89.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png
130,Chelsea,https://futhead.cursecdn.com/static/img/22/clubs/5.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png
131,Cheltenham Town,https://futhead.cursecdn.com/static/img/22/clubs/1936.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png
132,Chennaiyin FC,https://futhead.cursecdn.com/static/img/22/clubs/113297.png,Hero Indian Super League,https://futhead.cursecdn.com/static/img/22/leagues/2149.png
133,Chicago Fire FC,https://futhead.cursecdn.com/static/img/22/clubs/693.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png
134,Chongqing LJ Ath,https://futhead.cursecdn.com/static/img/22/clubs/112165.png,Chinese Football Association Super League,https://futhead.cursecdn.com/static/img/22/leagues/2012.png
135,Clermont Foot 63,https://futhead.cursecdn.com/static/img/22/clubs/1815.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png
136,Club Brugge,https://futhead.cursecdn.com/static/img/22/clubs/231.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png
137,Colchester,https://futhead.cursecdn.com/static/img/22/clubs/1935.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png
138,Colorado Rapids,https://futhead.cursecdn.com/static/img/22/clubs/694.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png
139,Columbus Crew,https://futhead.cursecdn.com/static/img/22/clubs/687.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png
140,Colón,https://futhead.cursecdn.com/static/img/22/clubs/110406.png,Liga Profesional de Fútbol,https://futhead.cursecdn.com/static/img/22/leagues/353.png
141,Coventry City,https://futhead.cursecdn.com/static/img/22/clubs/1800.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png
142,Cracovia,https://futhead.cursecdn.com/static/img/22/clubs/110747.png,PKO Bank Polski Ekstraklasa,https://futhead.cursecdn.com/static/img/22/leagues/66.png
143,Crawley Town,https://futhead.cursecdn.com/static/img/22/clubs/110890.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png
144,Crewe Alexandra,https://futhead.cursecdn.com/static/img/22/clubs/121.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png
145,Crotone,https://futhead.cursecdn.com/static/img/22/clubs/110734.png,Calcio B,https://futhead.cursecdn.com/static/img/22/leagues/2179.png
146,Cruz Azul,https://futhead.cursecdn.com/static/img/22/clubs/1878.png,LIGA BBVA MX,https://futhead.cursecdn.com/static/img/22/leagues/341.png
147,Crystal Palace,https://futhead.cursecdn.com/static/img/22/clubs/1799.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png
